CALDB environment variable = /opt/local/HEA/chandra/CALDB
             CALDB version = 4.5.5.1
             release date  = 2013-01-08T17:00:00 UTC
CALDB query completed successfully.
 
--------------------------------------------------------------------------------
Data for Table Block LIGHTCURVE
--------------------------------------------------------------------------------
 
ROW    TIME                 COUNT_RATE           COUNT_RATE_ERR
  8304  75137375.9921630025                    0                    0
  8305  75137379.2332029939                    0                    0
  8306  75137382.4742430151                    0                    0
  8307  75137385.7152830064                    0                    0
  8308  75137388.9563229978                    0                    0
  8309  75137392.1973630190                    0                    0
  8310  75137395.4384030104     0.31249999939449     0.31249999939449
  8311  75137398.6794430017     0.31249999939449     0.31249999939449
  8312  75137401.9204829931                    0                    0
  8313  75137405.1615230143                    0                    0
  8314  75137408.4025630057                    0                    0
  8315  75137411.6436029971                    0                    0
  8316  75137414.8846430182                    0                    0
  8317  75137418.1256830096                    0                    0
  8318  75137421.3667230010                    0                    0
  8319  75137424.6077629924     0.31249999939449     0.31249999939449
  8320  75137427.8488030136                    0                    0
  8321  75137431.0898430049     0.31249999939449     0.31249999939449
  8322  75137434.3308829963                    0                    0
  8323  75137437.5719230175     0.31249999939449     0.31249999939449
  8324  75137440.8129630089                    0                    0
  8325  75137444.0540030003                    0                    0
  8326  75137447.2950430214                    0                    0
  8327  75137450.5360830128                    0                    0
  8328  75137453.7771230042                    0                    0
  8329  75137457.0181629956                    0                    0
  8330  75137460.2592030168                    0                    0
  8331  75137463.5002430081                    0                    0
  8332  75137466.7412829995                    0                    0
  8333  75137469.9823230207                    0                    0
  8334  75137473.2233630121                    0                    0
  8335  75137476.4644030035                    0                    0
  8336  75137479.7054429948                    0                    0
  8337  75137482.9464830160                    0                    0
  8338  75137486.1875230074                    0                    0
  8339  75137489.4285629988                    0                    0
  8340   75137492.669603020                    0                    0
  8341  75137495.9106430113                    0                    0
  8342  75137499.1516830027                    0                    0
  8343  75137502.3927229941                    0                    0
  8344  75137505.6337630153                    0                    0
  8345  75137508.8748030066     0.31249999939449     0.31249999939449
  8346  75137512.1158429980                    0                    0
  8347  75137515.3568830192                    0                    0
  8348  75137518.5979230106                    0                    0
  8349  75137521.8389630020                    0                    0
  8350  75137525.0800029933                    0                    0
  8351  75137528.3210430145                    0                    0
