Year,Lx,Lx Uncert,Preflare limit year,Preflare limit Lx,year derived t-t_preflare (years),L-L_preflare,(L-L_preflare)/L_preflare,MJD,Preflare limit MJD,t-t_preflare (days),t-t_preflare (years),,,,,,,,,,,,,,
2010.7,4.07E+43,2.65E+42,2010.35,1.88E+42,0.35,3.88E+43,2.06E+01,55417.3,55289.3,128,0.350684931506849,,,,,,,,,,,,,,
2010.73,1.61E+43,1.41E+42,2010.35,1.88E+42,0.38,1.43E+43,7.56E+00,55429.1,55289.3,139.8,0.383013698630137,,,,,,,,,,,,,,
2010.76,4.25E+43,2.56E+42,2010.35,1.88E+42,0.41,4.07E+43,2.16E+01,55437.9,55289.3,148.6,0.407123287671233,,,,,,,,,,,,,,
2010.78,2.41E+43,2.06E+42,2010.35,1.88E+42,0.43,2.22E+43,1.18E+01,55445.5,55289.3,156.2,0.427945205479452,,,,,,,,,,,,,,
2010.79,3.52E+43,2.30E+42,2010.35,1.88E+42,0.44,3.33E+43,1.77E+01,55449,55289.3,159.7,0.437534246575342,,,,,,,,,,,,,,
2010.8,4.29E+43,2.35E+42,2010.35,1.88E+42,0.45,4.10E+43,2.18E+01,55453.5,55289.3,164.2,0.44986301369863,,,,,,,,,,,,,,
2010.81,6.24E+42,9.81E+41,2010.35,1.88E+42,0.46,4.35E+42,2.31E+00,55457.3,55289.3,168,0.46027397260274,,,,,,,,,,,,,,
2010.82,4.42E+43,2.32E+42,2010.35,1.88E+42,0.47,4.23E+43,2.25E+01,55461.6,55289.3,172.3,0.472054794520548,,,,,,,,,,,,,,
2010.84,1.43E+43,1.51E+42,2010.35,1.88E+42,0.49,1.24E+43,6.59E+00,55469.1,55289.3,179.8,0.492602739726027,,,,,,,,,,,,,,
2010.87,2.74E+43,1.98E+42,2010.35,1.88E+42,0.52,2.55E+43,1.35E+01,55477.1,55289.3,187.8,0.514520547945205,,,,,,,,,,,,,,
2010.88,1.33E+43,2.15E+42,2010.35,1.88E+42,0.53,1.14E+43,6.07E+00,55481.1,55289.3,191.8,0.525479452054795,,,,,,,,,,,,,,
2010.89,7.96E+43,3.10E+42,2010.35,1.88E+42,0.54,7.77E+43,4.12E+01,55485.5,55289.3,196.2,0.537534246575342,,,,,,,,,,,,,,
2010.9,2.62E+43,1.88E+42,2010.35,1.88E+42,0.55,2.43E+43,1.29E+01,55489.8,55289.3,200.5,0.549315068493151,,,,,,,,,,,,,,
2010.92,3.22E+43,2.16E+42,2010.35,1.88E+42,0.57,3.03E+43,1.61E+01,55497,55289.3,207.7,0.569041095890411,,,,,,,,,,,,,,
2010.96,1.71E+43,1.56E+42,2010.35,1.88E+42,0.61,1.53E+43,8.10E+00,55513.2,55289.3,223.9,0.613424657534247,,,,,,,,,,,,,,
2011.01,1.07E+42,3.67E+41,2010.35,1.88E+42,0.66,-8.17E+41,-4.34E-01,55529.6,55289.3,240.3,0.658356164383562,,,,,,,,,,,,,,
2011.05,4.81E+42,1.31E+42,2010.35,1.88E+42,0.7,2.93E+42,1.55E+00,55545.3,55289.3,256,0.701369863013699,,,,,,,,,,,,,,
2011.08,2.70E+42,6.22E+41,2010.35,1.88E+42,0.73,8.16E+41,4.33E-01,55553.1,55289.3,263.8,0.722739726027397,,,,,,,,,,,,,,
2011.13,1.88E+42,5.54E+41,2010.35,1.88E+42,0.78,0.00E+00,0.00E+00,55575.9,55289.3,286.6,0.785205479452055,,,,,,,,,,,,,,
2011.13,3.93E+42,7.71E+41,2010.35,1.88E+42,0.78,2.05E+42,1.09E+00,55578.5,55289.3,289.2,0.792328767123288,,,,,,,,,,,,,,
2011.17,5.67E+42,1.04E+42,2010.35,1.88E+42,0.82,3.78E+42,2.01E+00,55593.3,55289.3,304,0.832876712328767,,,,,,,,,,,,,,
2011.2,2.17E+43,1.95E+42,2010.35,1.88E+42,0.85,1.98E+43,1.05E+01,55601.6,55289.3,312.3,0.855616438356164,,,,,,,,,,,,,,
2011.2,2.42E+43,2.16E+42,2010.35,1.88E+42,0.85,2.23E+43,1.18E+01,55602.2,55289.3,312.9,0.857260273972603,,,,,,,,,,,,,,
2011.21,2.72E+43,2.13E+42,2010.35,1.88E+42,0.86,2.53E+43,1.34E+01,55607.8,55289.3,318.5,0.872602739726027,,,,,,,,,,,,,,
2011.22,1.65E+43,1.64E+42,2010.35,1.88E+42,0.87,1.46E+43,7.75E+00,55609.7,55289.3,320.4,0.877808219178082,,,,,,,,,,,,,,
2011.23,2.68E+42,6.73E+41,2010.35,1.88E+42,0.88,8.01E+41,4.25E-01,55613.5,55289.3,324.2,0.888219178082192,,,,,,,,,,,,,,
2011.29,2.40E+43,1.87E+42,2010.35,1.88E+42,0.94,2.21E+43,1.17E+01,55633.4,55289.3,344.1,0.942739726027397,,,,,,,,,,,,,,
2011.34,3.43E+43,2.32E+42,2010.35,1.88E+42,0.99,3.24E+43,1.72E+01,55649.5,55289.3,360.2,0.986849315068493,,,,,,,,,,,,,,
2013.48,3.12E+43,2.01E+42,2010.35,1.88E+42,3.13,2.93E+43,1.56E+01,56431.3,55289.3,1142,3.12876712328767,,,,,,,,,,,,,,
2014.45,1.69E+43,1.69E+42,2010.35,1.88E+42,4.1,1.50E+43,7.96E+00,56786,55289.3,1496.7,4.10054794520548,,,,,,,,,,,,,,
