# time (s), error time (250 s bins), rate, error rate
# converion to flux 1E-12 erg/s/cm2
33495.9023 125 0.305065066 3.93111482E-2 0.998641968
33745.9023 125 0.423813343 4.49009277E-2 0.998641968
33995.9023 125 0.386625141 4.5652397E-2 1.00448203
34245.9023 125 0.532676339 5.09374589E-2 0.998641968
34495.9023 125 0.944464028 7.06691593E-2 0.998641968
34745.9023 125 1.00017929 7.83967301E-2 0.998641968
34995.9023 125 1.26569128 8.80125389E-2 0.998641968
35245.9023 125 1.7013272 9.27422494E-2 1.00448203
35495.9023 125 1.78594577 9.57519636E-2 0.998641968
35745.9023 125 1.74625146 9.77704525E-2 0.998641968
35995.9023 125 1.7108866 0.105146907 0.998641968
36245.9023 125 1.2958076 9.70001519E-2 1.00448203
36495.9023 125 1.15749598 8.42362419E-2 0.998641968
36745.9023 125 0.965889156 7.00769275E-2 0.998641968
36995.9023 125 0.767094731 6.32499009E-2 0.998641968
37245.9023 125 0.633868694 5.85474484E-2 1.00448203
37495.9023 125 0.510088265 6.18914552E-2 0.998641968
37745.9023 125 0.486254662 4.95554395E-2 0.998641968
37995.9023 125 0.42147091 5.72390221E-2 0.998641968
38245.9023 125 0.393470079 5.54403216E-2 0.998641968
38495.9023 125 0.360506207 5.62544391E-2 1.00448203
38745.9023 125 0.292857885 4.84247133E-2 0.998641968
38995.9023 125 0.325184584 5.6462165E-2 0.998641968
39245.9023 125 0.349461675 6.01304211E-2 0.998641968
39495.9023 125 0.258632332 6.023857E-2 1.00448203
39745.9023 125 0.273289591 6.31782338E-2 0.916881621
39995.9023 125 0.326479644 7.69228116E-2 0.928561628
40245.9023 125 0.283955574 7.22456351E-2 0.998641968
40495.9023 125 0.454476207 7.84918666E-2 1.00448203
40745.9023 125 0.398213267 7.75379837E-2 0.998641968
40995.9023 125 0.1956117 7.54511207E-2 0.998641968
41245.9023 125 0.202021375 8.13652202E-2 0.998641968
41495.9023 125 0.289839059 7.64016509E-2 0.998641968
41745.9023 125 0.34383288 6.52538016E-2 1.00448203
41995.9023 125 0.411308289 6.72090873E-2 0.998641968
42245.9023 125 0.350571185 4.6325326E-2 0.998641968
42495.9023 125 0.335815996 4.0510457E-2 0.998641968
42745.9023 125 0.324079663 4.10617366E-2 1.00448203
42995.9023 125 0.32299152 4.04309258E-2 0.998641968
43245.9023 125 0.349182934 4.2655196E-2 0.998641968
43495.9023 125 0.344222695 4.03503403E-2 0.998641968
43745.9023 125 0.275408983 3.72293107E-2 1.00448203
43995.9023 125 0.379652947 4.26668562E-2 0.998641968
44245.9023 125 0.317713201 3.98115478E-2 0.998641968
44495.9023 125 0.306571394 3.85673642E-2 0.998641968
44745.9023 125 0.333189368 4.03657593E-2 1.00448203
44995.9023 125 0.255919367 3.68678384E-2 0.998641968
45245.9023 125 0.329699636 4.06761505E-2 0.998641968
45495.9023 125 0.307001472 4.14432585E-2 0.998641968
45745.9023 125 0.31932801 4.00121957E-2 0.998641968
45995.9023 125 0.344976574 4.19229567E-2 1.00448203
46245.9023 125 0.46597454 4.77886759E-2 0.998641968
46495.9023 125 0.360493809 4.21615988E-2 0.998641968
46745.9023 125 0.389619589 4.48974073E-2 0.998641968
46995.9023 125 0.290328473 3.96409892E-2 1.00448203
47245.9023 125 0.283070117 3.93732823E-2 0.998641968
47495.9023 125 0.401257366 5.13002984E-2 0.998641968
47745.9023 125 0.321191132 4.07478735E-2 0.998641968
47995.9023 125 0.366780013 4.276127E-2 1.00448203
48245.9023 125 0.342002869 4.12274711E-2 0.998641968
48495.9023 125 0.430011779 4.67428192E-2 0.998641968
48745.9023 125 0.31996733 4.00550216E-2 0.998641968
48995.9023 125 0.25068295 3.73907797E-2 0.998641968
49245.9023 125 0.240050957 3.61367352E-2 1.00448203
49495.9023 125 0.344261438 4.25234511E-2 0.998641968
