Ref= Margutti GRB catalogue
Spec Model= Absorbed power-law with NH_Galaxy=0.09d22 and NH_intrinsic=0.6d22 .  Time variable Photon Index
Comments= this LC is available in any energy band contained in the 0.3-10 keV range. This SN is linked to GRB060218. 
The obs extends up to      85.5625000       72.6898575   Swift-XRT     4.3419190768820278e+02   1.6518451645582132e+02: this last
bin has to be calculated manually with Ximage

time(days)       	ertime	  instrument		flux(1d-15 erg/s/cm2)		erflux 
      0.0023136        0.0000029   Swift-XRT     3.4421139272211571e+06   1.0952463380675679e+06
      0.0023194        0.0000029   Swift-XRT     3.6304839134970731e+06   1.1330303362200311e+06
      0.0023240        0.0000017   Swift-XRT     5.4104694058310082e+06   1.7603265511922927e+06
      0.0023292        0.0000035   Swift-XRT     3.9754657343848972e+06   1.1250027576181763e+06
      0.0023350        0.0000023   Swift-XRT     4.2901189267752208e+06   1.3680065968912912e+06
      0.0023408        0.0000035   Swift-XRT     2.6990547574712308e+06   8.7960227990180324e+05
      0.0023471        0.0000029   Swift-XRT     3.6167644434925704e+06   1.1319647441609958e+06
      0.0023529        0.0000029   Swift-XRT     3.4237006563131441e+06   1.0937006855726850e+06
      0.0023575        0.0000017   Swift-XRT     5.0689394903713483e+06   1.6925021384395221e+06
      0.0023622        0.0000029   Swift-XRT     3.2294034113533595e+06   1.0546636897146299e+06
      0.0023674        0.0000023   Swift-XRT     4.0338772322456860e+06   1.3180683211544419e+06
      0.0023720        0.0000023   Swift-XRT     4.2684558110295255e+06   1.3661880515769552e+06
      0.0023772        0.0000029   Swift-XRT     3.7914755779411276e+06   1.1683024547792797e+06
      0.0023824        0.0000023   Swift-XRT     4.0255656585941319e+06   1.3173138135869065e+06
      0.0023865        0.0000017   Swift-XRT     6.9422125825724369e+06   2.0690122948252563e+06
      0.0023917        0.0000035   Swift-XRT     2.9956299663069784e+06   9.4187957433433656e+05
      0.0023963        0.0000012   Swift-XRT     7.5630941509530200e+06   2.5347923759966306e+06
      0.0023998        0.0000023   Swift-XRT     4.4884425065561114e+06   1.4124308389540373e+06
      0.0024044        0.0000023   Swift-XRT     4.4855847924907263e+06   1.4122090163937171e+06
      0.0024091        0.0000023   Swift-XRT     4.2467940275514591e+06   1.3643695062626193e+06
      0.0024143        0.0000029   Swift-XRT     3.3949976163683003e+06   1.0912909464977360e+06
      0.0024195        0.0000023   Swift-XRT     3.7695122578895730e+06   1.2662138004770894e+06
      0.0024241        0.0000023   Swift-XRT     4.2379935116798598e+06   1.3636307638620336e+06
      0.0024299        0.0000035   Swift-XRT     2.5093975786205647e+06   8.4378781739502517e+05
      0.0024362        0.0000029   Swift-XRT     3.1966687075168919e+06   1.0516919557446158e+06
      0.0024409        0.0000017   Swift-XRT     5.0111728100432623e+06   1.6868266783376383e+06
      0.0024449        0.0000023   Swift-XRT     4.9301087656772323e+06   1.5035090950021867e+06
