timeobs	terr1	terr2	flux	ferr1	ferr2
1627158.662	114.713	-110.446	8.97971382e-11	5.38326201e-12	-5.80313874e-12
1627403.277	117.439	-129.901	8.1629415e-11	4.8853035e-12	-5.26759317e-12
1627718.822	210.059	-198.106	8.61646401e-11	3.891915468e-12	-4.412664333e-12
1637528.110	108.185	-103.682	7.17221673e-11	4.324870389e-12	-4.65841908e-12
1637751.417	107.729	-115.122	6.78360942e-11	4.093894476e-12	-4.409130705e-12
1637971.208	99.146	-112.062	7.14734223e-11	4.320495375e-12	-4.652128488e-12
1638165.196	99.160	-94.842	7.82223813e-11	4.701418638e-12	-5.06630292e-12
1638351.307	84.377	-86.951	8.86446036e-11	5.32347627e-12	-5.73729135e-12
1638527.188	95.294	-91.504	8.14746135e-11	4.88092269e-12	-5.26213044e-12
1638715.188	89.948	-92.705	8.27189181e-11	4.99616649e-12	-5.38027224e-12
1638972.441	177.022	-167.305	7.26938184e-11	3.395435904e-12	-3.821921523e-12
1649073.046	105.496	-108.069	7.15457757e-11	4.322363619e-12	-4.654511127e-12
1649296.259	113.715	-117.717	6.48403833e-11	3.976169022e-12	-4.273039659e-12
1649542.078	118.843	-132.104	6.04115631e-11	3.659279001e-12	-3.939054336e-12
1649774.210	118.020	-113.289	6.62058243e-11	3.968558874e-12	-4.278157527e-12
1649997.059	98.196	-104.829	7.54195323e-11	4.516937271e-12	-4.86990546e-12
1650198.066	94.048	-102.811	7.76979882e-11	4.661475504e-12	-5.02452342e-12
1650476.947	192.786	-184.833	7.25097954e-11	3.24612225e-12	-3.687797253e-12
1660720.038	82.131	-74.005	9.70715529e-11	5.75224503e-12	-6.2110419e-12
1660893.884	97.488	-91.715	7.9710939e-11	4.732113771e-12	-5.10822249e-12
1661090.185	82.641	-98.813	8.32612788e-11	4.92938691e-12	-5.32324443e-12
1661251.599	71.993	-78.773	1.004722593e-10	5.93213838e-12	-6.40861305e-12
1661407.246	88.331	-83.653	8.64892644e-11	5.21526978e-12	-5.61749769e-12
